id,image_name,boxes
0,32_09-02-30-000.jpg,"[[0.363275,0.729761,0.270657,0.540479,0.940749],[0.0545208,0.328985,0.0884575,0.254206,0.882446],[0.964801,0.830689,0.0703978,0.338056,0.746764],[0.770646,0.0927095,0.0477791,0.0899495,0.573155],[0.786078,0.109466,0.0594111,0.0819079,0.173578]]"
1,14.1_00-03-32-500.jpg,"[[0.686985,0.76206,0.149329,0.449803,0.915012]]"
2,19.1_00-02-05-000.jpg,"[[0.112205,0.26774,0.113159,0.314725,0.918654],[0.429749,0.135111,0.0358398,0.0914765,0.248265],[0.358323,0.0454998,0.0437633,0.0837623,0.235538],[0.421742,0.12813,0.0475615,0.103174,0.199377]]"
3,14_09-02-42-500.jpg,"[[0.803817,0.434009,0.0810666,0.371646,0.909071],[0.790328,0.259008,0.0489889,0.147431,0.529566],[0.789511,0.362347,0.0672951,0.331318,0.165626],[0.787257,0.306937,0.0583941,0.240821,0.155369]]"
4,3_01-02-30-000.jpg,"[[0.177926,0.208113,0.0707252,0.24246,0.911087],[0.34024,0.128529,0.0407386,0.127166,0.370318],[0.366804,0.126348,0.0277725,0.0904929,0.27546]]"
5,35_09-02-55-000.jpg,"[[0.383606,0.455419,0.251243,0.539153,0.930811],[0.659789,0.872891,0.279582,0.253327,0.925914],[0.825354,0.185663,0.109194,0.371327,0.924763],[0.569582,0.0999351,0.0926979,0.194637,0.703296]]"
6,10.1_02-04-47-500.jpg,"[[0.17028,0.299703,0.0581816,0.168195,0.697874],[0.0202622,0.549578,0.0401481,0.367369,0.620867],[0.226452,0.359672,0.0704508,0.23624,0.501006],[0.22846,0.380184,0.0755218,0.277847,0.244332],[0.185296,0.497951,0.0604705,0.201057,0.236378],[0.365376,0.552554,0.059432,0.0799745,0.184262],[0.648808,0.0194954,0.0170056,0.0355496,0.165893]]"
7,14_05-03-20-000.jpg,"[[0.737987,0.57091,0.149128,0.440157,0.940517],[0.567626,0.554645,0.165731,0.39652,0.903842],[0.865441,0.215607,0.0293133,0.127417,0.823919],[0.909376,0.24629,0.0354462,0.157633,0.804017],[0.846489,0.200241,0.0295392,0.0956421,0.188588]]"
8,32_14-01-02-500.jpg,"[[0.827788,0.868888,0.125749,0.259609,0.903707],[0.518367,0.917268,0.190849,0.165465,0.899968],[0.926339,0.768394,0.147322,0.449405,0.554589],[0.967173,0.441134,0.0654094,0.311489,0.390568],[0.967173,0.441134,0.0654094,0.311489,0.246252]]"
9,10.1_03-02-05-000.jpg,"[[0.414347,0.127675,0.0417806,0.105756,0.840876],[0.197747,0.257613,0.0608587,0.124744,0.819793],[0.35478,0.141963,0.0304851,0.0964067,0.645246],[0.319918,0.173661,0.0565871,0.143099,0.636316],[0.137776,0.367063,0.0713195,0.161145,0.598413],[0.31424,0.20383,0.0457948,0.114435,0.546494],[0.365559,0.550935,0.0616585,0.0677053,0.473472],[0.204593,0.396643,0.0667762,0.274911,0.352782],[0.326466,0.174493,0.0460123,0.145473,0.252186],[0.353529,0.168436,0.0364796,0.155095,0.240919],[0.137984,0.368067,0.0751386,0.162072,0.200094],[0.0280643,0.830894,0.0561286,0.332685,0.160354]]"
10,8_08-05-50-000.jpg,"[[0.708041,0.945912,0.154519,0.108176,0.868049]]"
11,21_05-03-07-500.jpg,"[[0.811859,0.821087,0.176002,0.355187,0.946746],[0.77909,0.155074,0.0195863,0.0945812,0.796629],[0.928338,0.206264,0.0414851,0.123177,0.6186],[0.852702,0.16588,0.0206054,0.0673979,0.468229]]"
12,3_02-02-42-500.jpg,"[[0.274754,0.307712,0.0850557,0.308307,0.889205],[0.251749,0.782638,0.19562,0.43357,0.294823]]"
13,14_09-05-12-500.jpg,"[[0.474235,0.802663,0.239402,0.394674,0.92258],[0.89301,0.259269,0.0331114,0.167195,0.855181],[0.871575,0.165722,0.0231938,0.0982656,0.755089],[0.852289,0.197729,0.025699,0.132784,0.573086],[0.850575,0.194686,0.0258953,0.129114,0.20515]]"
14,14.1_03-01-27-500.jpg,"[[0.220966,0.42622,0.078175,0.358162,0.680003],[0.594149,0.977528,0.0971934,0.044618,0.32372],[0.220966,0.42622,0.078175,0.358162,0.159933]]"
15,14_05-01-02-500.jpg,"[[0.814583,0.456067,0.118377,0.412467,0.935684],[0.866396,0.150397,0.0153481,0.0775714,0.462448],[0.841659,0.231778,0.0384796,0.141866,0.427731],[0.880708,0.190611,0.0206242,0.0978078,0.200615]]"
16,10.1_13-05-00-000.jpg,"[[0.178264,0.407901,0.0786144,0.362199,0.906761],[0.355747,0.149239,0.0455766,0.126071,0.859879],[0.323599,0.161736,0.0471141,0.123689,0.739806],[0.199646,0.248187,0.0423848,0.113414,0.596282],[0.365497,0.551252,0.059831,0.0778866,0.48744],[0.246653,0.319949,0.0617653,0.217962,0.294029],[0.324511,0.176428,0.0528254,0.162102,0.260466],[0.199554,0.249282,0.0412013,0.110875,0.242703]]"
17,13.1_01-05-12-500.jpg,"[[0.532714,0.128689,0.0597486,0.250206,0.216735]]"
18,3.1_04-00-50-000.jpg,"[[0.485745,0.176657,0.0894052,0.344821,0.864433]]"
19,37_06-00-37-500.jpg,"[[0.155805,0.620635,0.136972,0.368583,0.943602],[0.828707,0.710837,0.161697,0.569931,0.903244],[0.717508,0.840268,0.180628,0.31478,0.855981],[0.91485,0.895763,0.169493,0.208474,0.800873],[0.50807,0.0916874,0.0160596,0.0588935,0.773363]]"
